Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
UIC Flames - Belmont Bruins 2:1,United States. NCAA D1 Missouri Valley,11/5/2023,GK,109,2,2.54,8,6,4,1,4,2,3,3,12,1,11
Belmont Bruins - Evansville Purple Aces 2:2,United States. NCAA D1 Missouri Valley,11/2/2023,GK,107,2,1.29,4,2,0,1,6,3,6,6,13,1,12
Western Michigan Broncos - Belmont Bruins 5:0,United States. NCAA D1 Missouri Valley,10/27/2023,GK,101,5,4.8,10,5,2,4,5,4,5,5,14,2,12
Belmont Bruins - Bowling Green Falcons 2:1,United States. NCAA D1 Missouri Valley,10/15/2023,GK,99,1,0.51,3,2,1,1,11,3,1,1,16,1,15
Lipscomb Bisons - Belmont Bruins 4:2,United States. NCAA D1 Non-conference matches,10/11/2023,GK,121,4,3.34,11,7,5,3,10,5,4,4,13,0,13
Bradley Braves - Belmont Bruins 1:3,United States. NCAA D1 Missouri Valley,10/7/2023,GK,104,1,1.27,4,3,1,5,3,2,6,6,6,2,4
Belmont Bruins - Drake Bulldogs 2:1,United States. NCAA D1 Missouri Valley,10/1/2023,GK,104,1,1.32,3,2,2,2,2,2,12,12,5,0,5
Presbyterian BlueHose - Belmont Bruins 1:3,United States. NCAA D1 Non-conference matches,9/26/2023,GK,103,1,1.96,6,5,4,0,6,3,7,7,9,0,9
Missouri State Bears - Belmont Bruins 1:0,United States. NCAA D1 Missouri Valley,9/23/2023,GK,97,1,2.11,6,5,4,0,8,4,2,2,11,0,11
Belmont Bruins - UIC Flames 0:2,United States. NCAA D1 Missouri Valley,9/17/2023,GK,96,2,1.62,4,2,2,0,4,2,14,14,12,7,5
Southern Indiana Screaming Eagles - Belmont Bruins 0:4,United States. NCAA D1 Non-conference matches,9/13/2023,GK,49,0,0.59,1,1,1,1,1,1,6,6,4,1,3
Memphis Tigers - Belmont Bruins 2:1,United States. NCAA D1 Non-conference matches,9/9/2023,GK,99,2,0.76,7,5,1,2,2,1,12,11,9,3,6
Belmont Bruins - FAU Owls 1:1,United States. NCAA D1 Non-conference matches,8/28/2023,GK,98,1,1.83,6,5,4,5,7,4,5,5,11,1,10
Belmont Bruins - Georgia State Panthers 1:0,United States. NCAA D1 Non-conference matches,8/25/2023,GK,106,0,0.87,5,5,3,4,6,3,4,4,15,1,14
Belmont Bruins - Eastern Illinois Panthers 2:0,United States. NCAA D1 Non-conference matches,10/27/2022,GK,93,0,0,0,0,0,1,2,2,3,3,6,0,6
