Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots on target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duals won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opposite half,Yellow card,Red card
UIC Flames - Belmont Bruins 2:1,United States. NCAA D1 Missouri Valley,2023-11-05,RCB,109,56,35,0,0,0,0,0,24,16,9,3,1,0,4,4,20,15,3,3,6,7,1,11,0,56,0
Belmont Bruins - Bowling Green Falcons 2:1,United States. NCAA D1 Missouri Valley,2023-10-15,RCB,99,68,42,0,0,0,0,0,27,20,5,3,0,0,2,2,23,17,8,4,7,11,7,17,0,47,0
Lipscomb Bisons - Belmont Bruins 4:2,United States. NCAA D1 Non-conference matches,2023-10-11,RCB,121,56,30,0,0,0,0,0,19,12,7,3,0,0,1,1,18,11,2,0,6,10,8,8,0,102,0
Bradley Braves - Belmont Bruins 1:3,United States. NCAA D1 Missouri Valley,2023-10-07,RCB,104,82,50,0,0,1,0,0.05,39,27,14,4,0,0,1,1,24,17,5,3,7,15,8,11,1,0,0
Belmont Bruins - Drake Bulldogs 2:1,United States. NCAA D1 Missouri Valley,2023-10-01,RCB,104,63,44,0,0,1,1,0.15,37,30,11,8,1,0,0,0,12,7,4,2,8,6,3,6,1,0,0
Presbyterian BlueHose - Belmont Bruins 1:3,United States. NCAA D1 Non-conference matches,2023-09-26,RCB,103,79,53,0,0,0,0,0,37,30,12,6,0,0,3,2,29,16,8,4,9,12,5,13,0,0,0
Missouri State Bears - Belmont Bruins 1:0,United States. NCAA D1 Missouri Valley,2023-09-23,RCB,97,42,27,0,0,0,0,0,18,12,7,3,1,0,1,0,16,11,5,2,1,5,2,9,1,0,0
Southern Indiana Screaming Eagles - Belmont Bruins 0:4,United States. NCAA D1 Non-conference matches,2023-09-13,RCB,16,18,16,0,0,0,0,0,12,12,1,1,0,0,1,1,5,4,2,1,1,0,0,1,0,0,0
Evansville Purple Aces - Belmont Bruins 1:0,United States. NCAA D1 Missouri Valley,2022-11-10,RB,101,64,32,0,0,0,0,0,24,16,9,5,0,0,4,3,22,12,4,3,6,12,8,11,2,83,0
UIC Flames - Belmont Bruins 0:1,United States. NCAA D1 Missouri Valley,2022-11-06,"RB, RCB3",96,39,17,0,0,1,1,0.05,13,6,4,2,1,0,3,1,15,7,1,1,1,9,3,9,1,0,0
Belmont Bruins - Eastern Illinois Panthers 2:0,United States. NCAA D1 Non-conference matches,2022-10-27,RB,93,93,62,0,0,1,0,0.03,57,44,5,2,6,2,2,1,24,13,5,3,2,10,2,9,3,0,0
Belmont Bruins - Missouri State Bears 0:0,United States. NCAA D1 Missouri Valley,2022-10-23,RB,93,81,42,0,0,1,0,0.02,39,24,7,1,0,0,3,2,26,13,2,1,7,20,8,15,3,0,0
Drake Bulldogs - Belmont Bruins 2:0,United States. NCAA D1 Missouri Valley,2022-10-15,RB,98,91,54,0,0,0,0,0,53,40,11,7,3,0,3,0,26,13,2,1,4,14,2,13,4,58,0
Missouri State Bears - Belmont Bruins 2:0,United States. NCAA D1 Missouri Valley,2022-10-09,RB,96,90,48,0,0,0,0,0,38,26,10,5,2,0,2,1,34,16,3,2,9,15,9,14,5,0,0
Belmont Bruins - Evansville Purple Aces 0:0,United States. NCAA D1 Missouri Valley,2022-10-06,RB,95,67,43,0,0,1,1,0.07,28,18,3,1,3,2,5,5,29,20,4,4,4,11,7,8,2,0,0
Belmont Bruins - UIC Flames 2:3,United States. NCAA D1 Missouri Valley,2022-10-02,RB,98,42,28,0,0,0,0,0,22,14,6,3,0,0,2,2,14,11,4,2,3,8,2,10,2,0,0
SIUE Cougars - Belmont Bruins 0:1,United States. NCAA D1 Missouri Valley,2022-09-25,RB,96,54,36,0,0,1,0,0,33,23,6,3,0,0,1,1,13,11,2,2,3,13,9,12,0,27,0
IUPUI Jaguars - Belmont Bruins 1:2,United States. NCAA D1 Non-conference matches,2022-09-20,RB,105,64,40,0,0,0,0,0,37,29,6,2,1,1,1,0,18,11,3,1,5,10,5,9,4,41,0
Belmont Bruins - Bradley Braves 2:1,United States. NCAA D1 Missouri Valley,2022-09-18,RB,98,83,57,0,0,1,0,0.06,39,33,6,5,4,2,7,6,28,21,8,5,5,7,3,14,1,0,0
UNC Asheville Bulldogs - Belmont Bruins 1:2,United States. NCAA D1 Non-conference matches,2022-09-10,RB,100,62,42,0,0,2,0,0.18,39,31,8,5,3,1,1,1,14,10,3,3,1,11,1,9,2,0,0
Belmont Bruins - Lipscomb Bisons 0:0,United States. NCAA D1 Non-conference matches,2022-09-07,RB,103,74,38,0,0,0,0,0,22,12,7,3,0,0,5,4,36,21,8,5,9,12,3,11,0,0,0
Kentucky Wildcats - Belmont Bruins 3:0,United States. NCAA D1 Non-conference matches,2022-09-03,RCB3,99,54,30,0,0,0,0,0,24,17,10,4,0,0,4,1,21,12,4,2,5,12,9,12,2,0,0
Belmont Bruins - IPFW Mastodons 1:1,United States. NCAA D1 Non-conference matches,2022-08-28,"CB, LCB",96,80,62,0,0,0,0,0,65,52,10,5,2,0,2,2,9,7,2,1,3,9,2,7,0,0,0
Belmont Bruins - Southern Indiana Screaming Eagles 2:0,United States. NCAA D1 Non-conference matches,2022-08-26,CB,96,41,22,0,0,0,0,0,20,9,5,1,0,0,0,0,14,10,7,3,4,11,7,12,0,0,0
